"id","uuid","cultivo","predio","enfermedad","riesgo","lat","lng","biomasa","fecha_inicio_analisis","fecha_termino_analisis","productos"
21898,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2022-04-27 00:00:00.000,2022-05-03 00:00:00.000,"{"" ""}"
21908,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-02-13 00:00:00.000,2023-02-19 00:00:00.000,"{"" ""}"
21920,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2022-12-09 00:00:00.000,2022-12-15 00:00:00.000,"{"" ""}"
21928,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-02-17 00:00:00.000,2023-02-23 00:00:00.000,"{"" ""}"
21937,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-02-05 00:00:00.000,2023-02-11 00:00:00.000,"{"" ""}"
21948,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-06-27 00:00:00.000,2023-07-03 00:00:00.000,"{"" ""}"
21957,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-05-17 00:00:00.000,2023-05-23 00:00:00.000,"{"" ""}"
21968,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-07-09 00:00:00.000,2023-07-15 00:00:00.000,"{"" ""}"
21988,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-11-21 00:00:00.000,2023-11-27 00:00:00.000,"{"" ""}"
21998,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-12-17 00:00:00.000,2023-12-23 00:00:00.000,"{"" ""}"
22008,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-11-13 00:00:00.000,2023-11-19 00:00:00.000,"{"" ""}"
22013,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-03-21 00:00:00.000,2022-03-27 00:00:00.000,"{"" ""}"
22023,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2024-01-21 00:00:00.000,2024-01-27 00:00:00.000,"{"" ""}"
22033,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-06-09 00:00:00.000,2022-06-15 00:00:00.000,"{"" ""}"
22041,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2024-01-17 00:00:00.000,2024-01-23 00:00:00.000,"{"" ""}"
